time,frequency,confidence
17.580,251.742,0.962
17.600,246.942,0.961
17.620,246.942,0.952
17.640,251.742,0.947
17.660,251.742,0.942
17.680,253.099,0.930
17.700,256.636,0.945
17.720,256.636,0.946
17.740,256.636,0.939
17.760,251.742,0.930
17.780,251.742,0.926
17.800,256.636,0.928
17.820,256.636,0.933
17.840,256.636,0.933
17.860,256.636,0.922
17.880,255.769,0.899
17.900,251.742,0.881
17.920,246.942,0.855
17.940,237.613,0.807
17.960,233.082,0.755
17.980,233.082,0.675
18.000,242.113,0.597
18.020,246.942,0.526
18.040,246.942,0.514
18.060,246.942,0.523
18.080,242.233,0.541
18.100,251.602,0.555
18.120,251.651,0.556
18.140,251.742,0.566
18.160,251.986,0.564
18.180,384.520,0.546
18.200,261.626,0.519
18.220,261.626,0.494
18.240,261.626,0.469
18.260,256.636,0.433
18.280,123.471,0.392
18.300,118.807,0.338
18.320,228.637,0.373
18.340,224.277,0.345
18.360,288.065,0.360
18.380,288.065,0.362
18.400,288.065,0.326
18.420,288.065,0.302
18.440,288.051,0.286
18.460,55.000,0.301
18.480,146.832,0.315
18.500,49.952,0.329
18.520,261.634,0.343
18.540,261.626,0.356
18.560,261.626,0.367
18.580,128.313,0.401
18.600,130.637,0.502
18.620,130.786,0.583
18.640,125.871,0.647
18.660,123.471,0.701
18.680,121.137,0.744
18.700,123.474,0.779
18.720,123.471,0.805
18.740,123.503,0.824
18.760,123.471,0.861
18.780,123.471,0.869
18.800,125.871,0.848
18.820,128.318,0.845
18.840,128.318,0.836
18.860,128.318,0.824
18.880,127.673,0.818
18.900,128.219,0.808
18.920,125.871,0.792
18.940,123.471,0.787
18.960,121.116,0.802
18.980,118.807,0.813
19.000,118.807,0.821
19.020,118.807,0.823
19.040,118.807,0.820
19.060,118.807,0.811
19.080,118.807,0.795
19.100,118.807,0.774
19.120,141.286,0.786
19.140,144.032,0.815
19.160,144.032,0.836
19.180,141.286,0.850
19.200,141.286,0.859
19.220,141.286,0.872
19.240,141.286,0.881
19.260,144.032,0.882
19.280,144.032,0.877
19.300,144.032,0.865
19.320,144.032,0.860
19.340,146.832,0.855
19.360,149.679,0.855
19.380,152.597,0.872
19.400,152.597,0.882
